doc_index,topic_id,norm_topic_weight,yr_mnth
654,6,0.4484789,2017-10
655,6,0.6449016,2018-06
656,6,0.33447838,2017-10
657,6,0.64185405,2017-10
658,6,0.37208137,2017-10
659,3,0.47916833,2017-10
660,6,0.56103504,2017-10
661,8,0.7665094,2017-10
662,8,0.4777612,2017-10
663,6,0.4890935,2017-10
664,6,0.4892437,2017-10
665,3,0.7233366,2017-10
666,4,0.443026,2018-06
667,6,0.81847286,2017-10
668,8,0.589027,2017-10
669,7,0.4129618,2017-10
670,8,0.49119574,2017-10
671,4,0.4408994,2017-10
672,6,0.5260247,2017-10
673,6,0.89311135,2017-10
674,6,0.60479003,2017-10
675,6,0.42738047,2017-10
676,7,0.4877248,2018-06
677,8,0.98636055,2017-10
678,8,0.51244605,2017-10
679,6,0.5328904,2017-10
680,6,0.4895001,2017-10
681,6,0.711478,2017-10
682,8,0.61455727,2017-10
683,1,0.6459819,2017-10
684,6,0.7390366,2017-10
685,8,0.431748,2017-10
686,3,0.6383325,2017-10
687,5,0.31268507,2018-06
688,6,0.80545384,2017-10
689,6,0.57144433,2017-10
690,6,0.7394845,2017-10
691,6,0.45994306,2017-09
692,6,0.5859155,2017-09
693,6,0.85534495,2017-09
694,4,0.38570872,2017-09
695,6,0.4752762,2017-09
696,3,0.5151965,2017-09
697,6,0.4275833,2017-09
698,8,0.6336136,2018-06
699,6,0.67136884,2017-09
700,6,0.82437056,2017-09
701,6,0.7515386,2017-09
702,6,0.9967385,2017-09
703,6,0.590703,2017-09
704,6,0.6439065,2017-09
705,6,0.70231444,2017-09
706,6,0.9819942,2017-09
707,6,0.7051664,2017-09
708,3,0.7561336,2018-07
709,6,0.75708276,2018-06
710,8,0.88274527,2017-09
711,6,0.5617583,2017-09
712,6,0.34423152,2017-09
713,6,0.6443035,2017-09
714,6,0.3593317,2017-09
715,5,0.397711,2017-09
716,3,0.68296784,2017-09
717,1,0.38920945,2017-09
718,5,0.9782106,2017-09
719,8,0.34452063,2017-09
720,6,0.90229934,2018-06
721,6,0.8563655,2017-09
722,4,0.6300337,2017-09
723,4,0.84290004,2017-09
724,4,0.6207778,2017-09
725,6,0.5837994,2017-09
726,8,0.67382026,2017-09
727,1,0.57834405,2017-09
728,6,0.8731813,2017-09
729,6,0.77989393,2017-09
730,4,0.79786694,2018-06
731,6,0.7116239,2017-09
732,6,0.9204269,2017-09
733,6,0.7058175,2017-09
734,6,0.5913647,2017-09
735,6,0.32928956,2017-09
736,6,0.4938448,2017-09
737,6,0.74469167,2017-09
738,6,0.7736035,2017-09
739,1,0.8937554,2017-09
740,2,0.31070477,2017-09
741,5,0.756277,2018-06
742,6,0.62719476,2017-09
743,9,0.8240514,2017-09
744,5,0.32526293,2017-09
745,6,0.91819817,2017-09
746,1,0.40314972,2017-09
747,6,0.43568295,2017-09
748,8,0.49555662,2017-09
749,6,0.5704783,2017-09
750,6,0.30309916,2017-09
751,6,0.6904165,2018-06
752,6,0.91724,2017-08
753,6,0.46498168,2017-08
754,3,0.6969912,2017-08
755,4,0.48393494,2017-08
756,6,0.48797128,2017-08
757,6,0.9079102,2017-08
758,6,0.44943824,2017-08
759,6,0.68580943,2017-08
760,6,0.6213734,2017-08
761,8,0.6020202,2017-08
762,6,0.72694016,2018-06
763,6,0.9749672,2017-08
764,4,0.99552155,2017-08
765,4,0.6184667,2017-08
766,4,0.59367377,2017-08
767,6,0.60303074,2017-08
768,1,0.81885916,2017-08
769,8,0.48051435,2017-08
770,6,0.7342974,2017-08
771,6,0.7602655,2017-08
772,6,0.76788837,2018-06
773,6,0.67156416,2017-08
774,6,0.6992462,2017-08
775,6,0.97210467,2017-08
776,6,0.8967657,2017-08
777,0,0.3874412,2017-08
778,6,0.9158724,2017-08
779,6,0.41453692,2017-08
780,6,0.3704502,2017-08
781,6,0.76218766,2017-08
782,6,0.6017651,2017-08
783,8,0.4395449,2018-06
784,6,0.71303195,2017-07
785,3,0.3168987,2017-07
786,6,0.55267453,2017-07
787,6,0.6791232,2017-07
788,6,0.83510166,2017-07
789,6,0.9923054,2017-07
790,6,0.817998,2017-07
791,6,0.7148781,2017-07
792,6,0.98676187,2018-06
793,3,0.5172252,2017-07
794,5,0.88268757,2017-07
795,6,0.72351485,2017-07
796,6,0.9553218,2017-07
797,5,0.31577694,2017-07
798,6,0.5841229,2017-07
799,5,0.29428855,2017-07
800,8,0.62218416,2017-07
801,6,0.6623553,2017-07
802,6,0.61982983,2017-07
803,6,0.6408662,2018-06
804,6,0.88873804,2017-07
805,6,0.7592433,2017-07
806,4,0.5040871,2017-07
807,6,0.6226276,2017-07
808,6,0.48397923,2017-07
809,9,0.4335313,2017-07
810,6,0.7486525,2017-07
811,6,0.644259,2017-07
812,6,0.8570264,2017-07
813,6,0.8342448,2018-07
814,8,0.50457895,2018-06
815,4,0.26342934,2017-07
816,6,0.9551167,2017-07
817,6,0.94051963,2017-07
818,6,0.5078341,2017-07
819,6,0.607533,2017-07
820,5,0.3525859,2017-07
821,6,0.76568496,2017-07
822,9,0.872277,2017-07
823,9,0.5249899,2017-07
824,6,0.58158445,2018-06
825,6,0.6744159,2017-07
826,6,0.5972768,2017-07
827,6,0.29543144,2017-07
828,6,0.7465709,2017-07
829,6,0.78503597,2017-07
830,6,0.8687008,2017-07
831,6,0.58071995,2017-07
832,6,0.50473297,2017-07
833,2,0.4918728,2018-06
834,6,0.4394984,2017-07
835,6,0.5403746,2017-07
836,4,0.61454976,2017-07
837,6,0.9877464,2017-07
838,6,0.79214156,2017-07
839,6,0.8243291,2017-07
840,6,0.93911076,2017-07
841,1,0.520655,2017-07
842,1,0.49539733,2017-07
843,6,0.5306154,2017-07
844,6,0.50523,2018-06
845,6,0.7357404,2017-07
846,8,0.6525096,2017-07
847,4,0.56074816,2017-07
848,8,0.45379424,2017-07
849,5,0.72973824,2017-07
850,6,0.7716657,2017-07
851,6,0.77826416,2017-07
852,5,0.3923715,2017-07
853,6,0.99415463,2018-06
854,6,0.7953929,2017-07
855,5,0.33352974,2017-07
856,6,0.9292427,2017-07
857,6,0.50346,2017-07
858,6,0.87695354,2017-07
859,6,0.6478828,2017-07
860,6,0.41006258,2017-07
861,9,0.64735377,2017-07
862,6,0.7625074,2017-07
863,5,0.4735507,2017-07
864,6,0.5529912,2018-06
865,6,0.472029,2017-07
866,6,0.53184783,2017-06
867,6,0.6856808,2017-06
868,6,0.3616773,2017-06
869,6,0.63495725,2017-06
870,6,0.9102718,2017-06
871,6,0.57524616,2017-06
872,5,0.3134697,2017-06
873,9,0.6081604,2017-06
874,9,0.49233013,2018-06
875,6,0.6975625,2017-06
876,6,0.7269973,2017-06
877,4,0.55189526,2017-06
878,5,0.29200235,2017-06
879,4,0.67800915,2017-06
880,6,0.9184527,2017-06
881,6,0.9610831,2017-06
882,9,0.7845882,2017-06
883,6,0.92684716,2017-06
884,5,0.32897118,2017-06
885,5,0.35183468,2018-06
886,6,0.9977829,2017-06
887,6,0.83571124,2017-06
888,6,0.47059646,2017-06
889,3,0.671724,2017-06
890,6,0.6777908,2017-06
891,8,0.52201146,2017-06
892,8,0.51747537,2017-06
893,6,0.8961887,2017-06
894,8,0.5029797,2017-06
895,6,0.674037,2017-06
896,6,0.62292,2018-06
897,3,0.30901214,2017-06
898,6,0.88305026,2017-06
899,6,0.5314879,2017-06
900,8,0.67345166,2017-06
901,6,0.6566355,2017-06
902,6,0.9147681,2017-06
903,9,0.55341625,2017-06
904,9,0.87822574,2017-06
905,6,0.83181685,2017-06
906,6,0.66038716,2017-06
907,8,0.32471466,2018-06
908,6,0.5551117,2017-06
909,6,0.86699945,2017-06
910,6,0.51764446,2017-06
911,6,0.37881985,2017-06
912,6,0.5094337,2017-06
913,6,0.51193696,2017-06
914,2,0.5704342,2017-06
915,6,0.39350715,2017-06
916,6,0.8699755,2017-06
917,5,0.5792241,2017-06
918,6,0.85836965,2018-07
919,6,0.8802334,2018-06
920,8,0.39494497,2017-06
921,6,0.41149393,2017-06
922,5,0.7598998,2017-06
923,6,0.7180133,2017-06
924,6,0.3382134,2017-06
925,6,0.57635343,2017-06
926,6,0.69564,2017-06
927,8,0.84107953,2017-06
